"id","MQ2","MQ7","MQ135","NO2","C2H5OH","VOC","CO","HMD","TMP","HI","RAWPM","DD","LAT","LON","time"
27,3.53,6.61,8.1,5.53,86.78,41.03,59.64,81.43,32.0,3.5,,116.18,22.556973,88.4940996,"2024-04-18 10:07:39.954543"
28,1.92,7.75,8.18,5.36,28.25,12.94,91.75,96.89,32.0,44.12,,606.05,22.556973,88.4940996,"2024-04-18 10:07:45.850253"
29,0.78,1.63,2.23,0.04,9.88,33.44,31.72,83.7,32.0,-2.31,,847.12,22.556973,88.4940996,"2024-04-18 10:07:51.775346"
30,6.31,6.65,1.0,2.95,10.28,31.91,97.59,3.56,32.0,15.7,,81.68,22.556973,88.4940996,"2024-04-18 10:07:58.248872"
31,6.63,2.95,3.34,5.19,52.61,35.74,1.93,68.4,32.0,-11.2,,794.14,22.556973,88.4940996,"2024-04-18 10:08:04.208954"
32,3.32,7.53,8.49,2.39,81.34,32.06,59.1,31.54,32.0,30.8,,190.26,22.556973,88.4940996,"2024-04-18 10:10:50.078637"
33,9.08,8.16,3.17,6.79,19.84,38.24,94.16,50.72,32.0,-9.75,,246.12,22.556973,88.4940996,"2024-04-18 10:10:55.454736"
34,6.29,9.58,4.66,4.3,36.26,2.07,46.54,25.99,32.0,-16.95,,62.55,22.556973,88.4940996,"2024-04-18 10:11:00.730786"
35,7.13,0.64,8.66,1.66,86.05,40.5,74.53,50.83,32.0,-8.4,,152.4,22.556973,88.4940996,"2024-04-18 10:11:06.070078"
36,8.72,9.37,3.95,1.03,47.72,17.88,56.23,38.98,32.0,46.83,,831.74,22.556973,88.4940996,"2024-04-18 10:11:11.533427"
37,8.24,5.24,4.3,6.08,19.93,63.31,45.59,9.21,32.0,19.96,,27.4,22.556973,88.4940996,"2024-04-18 10:11:16.872406"
38,1.58,1.12,4.91,4.99,54.1,53.76,13.55,95.89,32.0,48.08,,446.94,22.556973,88.4940996,"2024-04-18 10:11:22.242345"
39,7.74,0.14,6.67,6.87,34.05,44.5,18.13,27.84,32.0,9.88,,960.41,22.556973,88.4940996,"2024-04-18 10:11:27.713087"
40,4.63,0.62,5.7,0.24,75.13,14.01,77.05,72.09,32.0,23.67,,781.77,22.556973,88.4940996,"2024-04-18 10:11:33.252712"
41,1.27,5.73,6.41,2.11,54.85,57.68,95.95,20.0,32.0,-1.73,,151.74,22.556973,88.4940996,"2024-04-18 10:11:38.768561"
42,5.65,1.93,8.36,1.08,74.93,29.23,89.24,22.52,32.0,44.93,,176.14,22.556973,88.4940996,"2024-04-18 10:11:44.317729"
43,6.95,8.15,7.62,4.38,39.22,17.3,64.28,75.66,32.0,20.62,,727.4,22.556973,88.4940996,"2024-04-18 10:11:49.673945"
44,8.73,4.81,2.96,3.43,75.96,60.5,24.75,6.86,32.0,43.33,,308.76,22.556973,88.4940996,"2024-04-18 10:11:55.028431"
45,8.22,8.79,2.92,5.21,58.11,27.15,18.95,60.84,32.0,18.84,,999.44,22.556973,88.4940996,"2024-04-18 10:12:00.393384"
46,8.06,4.55,1.73,6.3,64.32,57.51,12.44,54.72,32.0,3.67,,743.39,22.556973,88.4940996,"2024-04-18 10:12:06.047111"
47,7.81,0.37,5.95,6.11,21.26,20.17,44.68,27.11,32.0,-15.57,,783.44,22.556973,88.4940996,"2024-04-18 10:12:11.395613"
48,3.16,5.92,7.82,2.05,48.97,7.07,74.36,66.83,32.0,8.38,,503.31,22.556973,88.4940996,"2024-04-18 10:12:16.752084"
49,7.62,4.81,0.9,6.73,12.21,46.76,80.19,50.71,32.0,-13.2,,466.18,22.556973,88.4940996,"2024-04-18 10:12:22.061107"
50,0.6,2.92,4.59,1.93,61.71,21.22,63.77,96.21,32.0,37.89,,790.6,22.556973,88.4940996,"2024-04-18 10:12:27.426778"
51,9.7,7.96,9.75,5.6,73.14,2.91,83.97,61.88,32.0,25.3,,727.24,22.556973,88.4940996,"2024-04-18 10:12:33.092054"
52,1.85,0.78,0.42,0.18,81.73,56.11,114.45,10.35,32.0,37.67,,585.94,22.556973,88.4940996,"2024-04-18 10:12:38.601634"
53,5.38,3.17,4.28,6.36,56.43,29.09,103.43,18.65,32.0,39.77,,14.89,22.556973,88.4940996,"2024-04-18 10:12:44.007411"
54,4.36,0.85,6.26,5.54,47.76,50.9,50.89,52.66,32.0,20.88,,435.86,22.556973,88.4940996,"2024-04-18 10:12:49.567580"
55,2.68,6.18,6.07,5.6,3.71,54.86,39.06,37.91,32.0,-19.49,,900.08,22.556973,88.4940996,"2024-04-18 10:12:54.865438"
56,7.16,2.78,0.64,6.67,85.9,18.8,43.68,75.85,32.0,47.95,,252.03003992163505,22.556973,88.4940996,"2024-04-18 10:14:16.862039"
57,6.12,7.53,9.94,5.86,40.08,37.12,27.49,42.43,32.0,30.6,,251.8875271512088,22.556973,88.4940996,"2024-04-18 10:14:22.326145"
58,3.7,0.83,5.15,3.1,23.92,55.45,114.3,22.22,32.0,3.34,,251.65946409161342,22.556973,88.4940996,"2024-04-18 10:14:27.937942"
59,0.66,3.41,2.93,6.05,75.56,67.33,3.01,66.04,32.0,29.67,,251.88388809952335,22.556973,88.4940996,"2024-04-18 10:14:33.601765"
60,0.01,8.1,5.81,6.67,18.48,3.22,51.74,12.82,32.0,30.68,,253.31,22.556973,88.4940996,"2024-04-18 10:14:37.890599"
61,1.86,0.42,5.16,3.65,18.44,11.74,39.85,37.97,32.0,16.58,,252.21,22.556973,88.4940996,"2024-04-18 10:14:43.274513"
62,7.94,9.29,7.58,6.12,84.58,53.61,61.17,35.43,32.0,44.86,,253.17,22.556973,88.4940996,"2024-04-18 10:14:48.876818"
63,8.02,3.02,4.02,4.49,20.35,58.28,111.11,97.49,32.0,29.01,,252.96,22.556973,88.4940996,"2024-04-18 10:14:54.239974"
64,8.47,8.83,6.0,5.04,13.27,25.7,4.44,45.46,32.0,13.21,,251.65,22.556973,88.4940996,"2024-04-18 10:14:59.777464"
65,5.07,6.01,5.79,2.41,64.63,39.47,42.79,71.65,32.0,-16.6,,252.0,22.556973,88.4940996,"2024-04-18 10:15:05.306392"
66,5.51,4.18,0.54,6.49,40.62,43.64,25.35,52.12,32.0,34.42,,252.85,22.556973,88.4940996,"2024-04-18 10:15:10.627162"
67,5.38,6.78,6.92,0.1,44.0,21.73,63.03,43.54,32.0,-0.83,,251.99,22.556973,88.4940996,"2024-04-18 10:15:15.969736"
68,8.93,7.12,9.74,0.11,54.53,40.98,64.69,37.21,32.0,27.38,,251.8,22.556973,88.4940996,"2024-04-18 10:15:21.442406"
69,3.33,7.54,2.08,6.16,82.18,14.26,113.63,32.77,32.0,37.81,,252.04,22.556973,88.4940996,"2024-04-18 10:15:26.961970"
70,1.23,7.35,8.53,0.91,62.67,51.56,49.97,66.67,32.0,-11.89,,251.59,22.556973,88.4940996,"2024-04-18 10:15:32.452150"
71,7.57,4.69,0.59,5.08,0.17,33.45,91.83,40.29,32.0,23.74,,253.01,22.556973,88.4940996,"2024-04-18 10:15:37.782830"
72,1.02,3.63,5.83,6.34,84.41,57.32,113.36,42.45,32.0,32.69,,253.04,22.556973,88.4940996,"2024-04-18 10:15:43.105269"
73,6.71,2.35,5.6,4.42,19.04,43.87,112.17,19.14,32.0,33.91,,252.41,22.556973,88.4940996,"2024-04-18 10:15:48.515439"
74,3.46,4.12,2.83,5.85,42.69,32.76,78.72,90.58,32.0,9.02,,252.83,22.556973,88.4940996,"2024-04-18 10:15:53.919270"
75,2.85,5.73,9.98,1.83,85.65,59.95,88.44,73.29,32.0,40.03,,253.37,22.556973,88.4940996,"2024-04-18 10:15:59.488830"
76,6.45,6.42,9.25,6.19,76.02,41.26,6.4,92.35,32.0,16.29,,251.73,22.556973,88.4940996,"2024-04-18 10:16:05.003174"
77,6.64,0.9,4.19,0.82,18.23,45.31,59.61,36.7,32.0,48.28,,252.88,22.556973,88.4940996,"2024-04-18 10:16:10.497315"
78,1.55,7.5,7.49,1.3,67.52,22.24,80.12,3.88,32.0,39.37,,251.59,22.556973,88.4940996,"2024-04-18 10:16:15.832476"
79,8.78,6.58,4.43,5.13,58.31,10.71,28.57,38.14,32.0,27.17,,253.09,22.556973,88.4940996,"2024-04-18 10:16:21.312938"
80,3.1,6.69,1.54,5.76,80.53,44.94,21.53,83.51,32.0,43.61,,252.67,22.556973,88.4940996,"2024-04-18 10:16:26.634151"
81,6.83,3.97,9.52,4.53,43.04,52.36,56.77,9.48,32.0,48.32,,252.87,22.556973,88.4940996,"2024-04-18 10:16:31.935078"
82,1.7,5.77,5.52,1.71,62.67,48.39,90.13,84.25,32.0,32.14,,252.24,22.556973,88.4940996,"2024-04-18 10:16:37.374516"
83,0.42,9.32,0.36,1.79,30.22,64.28,95.81,67.84,32.0,7.02,,252.62,22.556973,88.4940996,"2024-04-18 10:16:42.625160"
84,7.76,9.7,2.67,5.96,10.67,11.78,60.91,0.3,32.0,32.28,,252.95,22.556973,88.4940996,"2024-04-18 10:16:48.173216"
85,7.49,0.82,0.68,4.67,56.0,44.83,88.48,31.54,32.0,36.71,,253.43,22.556973,88.4940996,"2024-04-18 10:16:53.508168"
86,0.49,6.25,6.9,0.77,15.85,31.57,20.57,78.71,32.0,8.05,,252.35,22.556973,88.4940996,"2024-04-18 10:16:58.987716"
87,3.22,9.45,0.86,5.08,1.57,55.93,32.28,88.76,32.0,27.43,,252.36,22.556973,88.4940996,"2024-04-18 10:17:04.390041"
88,7.87,4.71,7.45,4.65,71.5,47.52,67.79,87.54,32.0,3.85,,251.99,22.556973,88.4940996,"2024-04-18 10:17:10.066158"
89,0.06,6.78,8.01,5.16,77.34,61.13,22.87,38.49,32.0,17.34,,252.87,22.556973,88.4940996,"2024-04-18 10:17:15.444140"
90,9.14,2.95,3.2,3.43,63.6,28.96,96.92,50.68,32.0,3.3,,252.86,22.556973,88.4940996,"2024-04-18 10:17:20.774109"
91,0.83,4.64,3.72,1.71,84.28,28.47,35.21,77.72,32.0,33.13,,252.73,22.556973,88.4940996,"2024-04-18 10:17:26.208057"
92,1.07,6.27,6.0,2.64,5.06,55.58,87.64,62.32,32.0,1.13,,252.51,22.556973,88.4940996,"2024-04-18 10:17:31.529974"
93,2.5,6.94,0.66,1.93,26.19,27.0,86.52,4.53,32.0,32.56,,252.88,22.556973,88.4940996,"2024-04-18 10:17:36.862924"
94,8.14,0.18,2.64,6.76,28.3,11.97,14.28,53.34,32.0,19.02,,252.83,22.556973,88.4940996,"2024-04-18 10:17:42.338427"
95,6.76,3.19,5.92,4.02,10.36,32.07,68.43,12.7,32.0,4.4,,252.99,22.556973,88.4940996,"2024-04-18 10:17:47.725412"
96,3.68,5.07,7.45,3.06,88.54,10.06,16.17,80.14,32.0,47.93,,252.49,22.556973,88.4940996,"2024-04-18 10:17:53.088095"
97,5.66,8.93,5.9,5.72,17.68,62.27,64.95,37.34,32.0,-6.98,,253.3,22.556973,88.4940996,"2024-04-18 10:17:58.385342"
98,7.13,7.81,2.49,5.73,54.94,28.81,106.81,22.76,32.0,-1.22,,251.67,22.556973,88.4940996,"2024-04-18 10:18:03.952774"
99,4.3,9.79,9.77,6.6,19.92,13.64,103.09,26.21,32.0,2.0,,252.26,22.556973,88.4940996,"2024-04-18 10:18:09.363551"
100,7.14,3.64,8.41,2.34,62.05,10.2,79.74,61.98,32.0,5.53,,253.33,22.556973,88.4940996,"2024-04-18 10:18:14.660088"
101,8.67,5.65,4.18,0.55,13.59,35.17,108.08,28.43,32.0,-10.82,,253.39,22.556973,88.4940996,"2024-04-18 10:18:20.232745"
102,8.65,1.34,7.39,6.22,44.37,19.02,81.08,5.38,32.0,43.52,,253.36,22.556973,88.4940996,"2024-04-18 10:18:25.846152"
103,6.29,9.88,2.53,4.2,63.25,37.93,35.66,56.69,32.0,45.81,,252.15,22.556973,88.4940996,"2024-04-18 10:18:31.456079"
104,1.26,2.9,1.59,6.61,77.48,40.19,27.51,62.05,32.0,0.63,,251.62,22.556973,88.4940996,"2024-04-18 10:18:36.895147"
105,3.95,5.5,9.45,2.15,24.32,42.19,10.02,71.13,32.0,-6.98,,252.37,22.556973,88.4940996,"2024-04-18 10:18:42.334228"
106,9.88,9.53,3.26,4.37,46.57,32.16,94.54,96.65,32.0,38.48,,251.73,22.556973,88.4940996,"2024-04-18 10:18:47.720457"
107,8.03,4.23,5.31,3.59,75.25,10.04,97.19,17.64,32.0,39.0,,252.65,22.556973,88.4940996,"2024-04-18 10:18:53.082291"
108,7.43,5.43,7.13,2.2,30.0,67.66,75.94,94.16,32.0,33.88,,252.81,22.556973,88.4940996,"2024-04-18 10:18:58.438310"
109,9.22,5.87,0.54,2.88,37.11,50.57,71.03,66.35,32.0,29.0,,251.6,22.556973,88.4940996,"2024-04-18 10:19:03.824777"
110,4.57,6.03,6.52,2.48,39.45,63.36,98.93,51.91,32.0,8.06,,252.91,22.556973,88.4940996,"2024-04-18 10:19:09.126707"
111,5.45,1.39,6.97,0.69,35.99,22.64,60.12,63.02,32.0,14.51,,253.09,22.556973,88.4940996,"2024-04-18 10:19:14.434578"
112,7.63,8.46,9.69,3.81,40.03,35.66,43.26,41.77,32.0,28.35,,252.22,22.556973,88.4940996,"2024-04-18 10:19:19.871139"
113,7.71,4.41,3.63,4.15,82.67,54.8,103.69,32.28,32.0,-7.22,,253.3,22.556973,88.4940996,"2024-04-18 10:19:25.158775"
114,9.26,1.06,2.9,4.18,35.86,21.42,43.52,72.62,32.0,5.46,,252.6,22.556973,88.4940996,"2024-04-18 10:19:30.768688"
115,4.02,2.71,3.75,1.14,26.61,24.59,50.3,59.67,32.0,-8.25,,252.02,22.556973,88.4940996,"2024-04-18 10:19:36.167700"
116,2.58,9.43,2.76,5.58,68.08,47.43,73.97,16.59,32.0,10.21,,253.2,22.556973,88.4940996,"2024-04-18 10:19:41.522400"
117,8.9,9.94,2.62,0.28,85.2,0.55,25.99,46.04,32.0,5.0,,252.12,22.556973,88.4940996,"2024-04-18 10:19:46.876418"
118,5.47,2.17,5.33,3.6,42.19,43.99,26.79,79.94,32.0,18.66,,252.64,22.556973,88.4940996,"2024-04-18 10:19:52.424895"
119,2.14,6.77,7.13,5.34,49.75,47.7,89.53,97.25,32.0,-15.96,,253.1,22.556973,88.4940996,"2024-04-18 10:19:57.732375"
120,8.12,0.45,3.85,6.37,83.97,30.76,38.08,31.55,32.0,43.45,,252.12,22.556973,88.4940996,"2024-04-18 10:20:03.010899"
121,7.39,9.54,0.09,3.79,41.74,65.28,16.67,62.63,32.0,46.2,,252.83,22.556973,88.4940996,"2024-04-18 10:20:08.355740"
122,3.23,9.75,9.92,0.95,68.79,12.31,22.85,31.24,32.0,22.15,,251.79,22.556973,88.4940996,"2024-04-18 10:20:14.007168"
123,6.25,2.73,5.26,3.87,58.7,13.31,69.83,30.07,32.0,33.42,,253.39,22.556973,88.4940996,"2024-04-18 10:20:19.449618"
124,2.24,4.12,4.65,0.61,82.6,23.78,31.57,15.42,32.0,27.49,,253.07,22.556973,88.4940996,"2024-04-18 10:20:24.827538"
125,0.68,7.93,6.23,2.23,63.34,12.42,72.26,50.03,32.0,-6.03,,251.69,22.556973,88.4940996,"2024-04-18 10:20:30.119575"
126,7.23,0.06,7.73,0.26,17.26,63.65,29.35,97.02,32.0,38.16,,253.01,22.556973,88.4940996,"2024-04-18 10:20:35.421411"
127,0.18,3.26,9.37,4.61,13.37,62.8,105.71,41.85,32.0,-19.55,,253.12,22.556973,88.4940996,"2024-04-18 10:20:40.786656"
128,3.85,6.69,1.14,2.11,49.74,34.85,107.83,78.36,32.0,15.84,,251.69,22.556973,88.4940996,"2024-04-18 10:20:46.088289"
129,9.42,2.66,5.25,3.16,38.49,4.89,21.86,64.71,32.0,34.14,,253.26,22.556973,88.4940996,"2024-04-18 10:20:51.448707"
130,3.03,1.82,8.65,5.28,20.08,2.61,29.57,55.26,32.0,22.77,,252.96,22.556973,88.4940996,"2024-04-18 10:20:56.820350"
131,7.86,4.67,8.03,4.87,67.93,46.92,19.65,14.03,32.0,35.74,,252.07,22.556973,88.4940996,"2024-04-18 10:21:02.188087"
132,3.48,0.98,7.54,5.69,60.74,32.81,56.14,21.62,32.0,-3.42,,251.58,22.556973,88.4940996,"2024-04-18 10:21:07.562266"
133,8.3,4.58,9.27,5.93,78.04,27.87,77.61,80.34,32.0,0.98,,253.31,22.556973,88.4940996,"2024-04-18 10:21:12.889878"
134,7.08,2.0,9.69,3.74,62.39,55.1,11.79,19.4,32.0,25.7,,252.89,22.556973,88.4940996,"2024-04-18 10:21:18.180058"
135,9.73,1.98,8.3,6.5,80.23,1.92,60.85,88.61,32.0,22.7,,252.5,22.556973,88.4940996,"2024-04-18 10:21:23.530626"
136,5.68,1.58,0.11,6.49,51.0,13.66,80.0,56.92,32.0,-11.51,,251.64,22.556973,88.4940996,"2024-04-18 10:21:28.890343"
137,9.61,9.2,1.17,2.35,74.78,8.42,78.61,11.4,32.0,18.87,,252.29,22.556973,88.4940996,"2024-04-18 10:21:34.205770"
138,4.8,0.23,8.97,3.96,64.23,25.36,66.01,76.9,32.0,25.87,,253.16,22.556973,88.4940996,"2024-04-18 10:21:39.574631"
139,2.36,0.02,5.75,4.62,27.5,60.13,86.55,63.05,32.0,10.89,,252.66,22.556973,88.4940996,"2024-04-18 10:21:44.901831"
140,2.7,3.35,2.33,4.18,23.38,67.2,70.52,59.92,32.0,-10.83,,251.74,22.556973,88.4940996,"2024-04-18 10:21:50.283636"
141,5.2,8.93,0.38,2.81,87.5,8.25,22.65,82.02,32.0,-15.74,,252.72,22.556973,88.4940996,"2024-04-18 10:21:55.664045"
142,0.78,2.99,3.07,3.34,62.96,12.97,12.07,25.05,32.0,26.06,,251.57,22.556973,88.4940996,"2024-04-18 10:22:00.928897"
143,8.95,0.32,5.1,3.42,64.61,22.55,10.22,7.94,32.0,14.11,,251.83,22.556973,88.4940996,"2024-04-18 10:22:06.221471"
144,7.47,0.55,7.75,0.81,73.84,60.85,99.69,16.31,32.0,35.69,,253.1,22.556973,88.4940996,"2024-04-18 10:22:11.554722"
145,2.92,1.8,8.53,5.4,73.82,64.2,113.01,73.16,32.0,2.85,,251.9,22.556973,88.4940996,"2024-04-18 10:22:16.864672"
146,6.11,5.43,4.52,0.09,15.83,26.06,104.39,39.65,32.0,8.42,,251.82,22.556973,88.4940996,"2024-04-18 10:22:22.243086"
147,2.21,7.54,4.95,0.01,23.42,32.98,80.63,64.12,32.0,42.5,,251.89,22.556973,88.4940996,"2024-04-18 10:22:27.528135"
148,0.91,8.44,7.13,0.62,17.65,16.41,75.9,40.17,32.0,45.82,,251.63,22.556973,88.4940996,"2024-04-18 10:22:32.890127"
149,9.29,9.95,8.6,0.77,6.17,63.13,3.84,60.63,32.0,32.03,,252.17,22.556973,88.4940996,"2024-04-18 10:22:38.253807"
150,8.26,0.3,9.48,6.27,0.43,38.74,100.5,9.55,32.0,46.83,,252.88,22.556973,88.4940996,"2024-04-18 10:22:43.564664"
151,9.41,5.23,4.47,0.66,42.33,53.54,34.21,73.07,32.0,17.47,,252.46,22.556973,88.4940996,"2024-04-18 10:22:48.942700"
152,4.78,7.8,1.98,3.6,24.21,49.58,59.07,99.96,32.0,0.43,,252.77,22.556973,88.4940996,"2024-04-18 10:22:54.253574"
153,0.92,9.14,8.54,0.09,18.87,32.7,96.42,15.49,32.0,18.69,,251.82,22.556973,88.4940996,"2024-04-18 10:22:59.637694"
154,9.07,5.16,5.04,3.22,83.64,50.17,12.99,53.92,32.0,3.13,,251.78,22.556973,88.4940996,"2024-04-18 10:23:04.926148"
155,3.05,3.46,7.59,3.36,19.23,65.12,88.13,90.44,32.0,33.39,,252.09,22.556973,88.4940996,"2024-04-18 10:23:10.278374"
156,3.22,3.74,5.88,5.54,69.21,22.15,1.61,52.09,32.0,2.45,,252.23,22.556973,88.4940996,"2024-04-18 10:23:16.307704"
157,0.23,8.29,2.11,6.52,24.49,27.46,2.05,91.93,32.0,-11.47,,253.28,22.556973,88.4940996,"2024-04-18 10:23:21.524642"
158,6.26,1.5,5.18,0.03,88.26,44.47,72.23,17.31,32.0,46.93,,252.09,22.556973,88.4940996,"2024-04-18 10:23:26.771213"
159,4.68,8.09,3.63,1.41,50.75,28.64,102.24,58.95,32.0,44.57,,253.4,22.556973,88.4940996,"2024-04-18 10:23:32.031491"
160,6.43,0.8,6.48,4.94,8.63,28.08,23.43,83.73,32.0,-8.72,,252.16,22.556973,88.4940996,"2024-04-18 10:23:37.278801"
161,7.59,4.05,6.18,0.73,83.79,11.89,35.88,83.08,32.0,22.72,,252.64,22.556973,88.4940996,"2024-04-18 10:23:42.550322"
162,0.83,3.88,8.1,3.12,70.19,15.23,70.95,88.51,32.0,25.57,,251.59,22.556973,88.4940996,"2024-04-18 10:23:47.840307"
163,8.75,9.98,1.28,1.18,43.31,18.32,59.46,81.3,32.0,-0.27,,251.79,22.556973,88.4940996,"2024-04-18 10:23:53.139498"
164,5.84,0.42,7.41,5.37,26.65,57.7,110.05,28.12,32.0,5.15,,252.01,22.556973,88.4940996,"2024-04-18 10:23:58.343275"
165,1.79,6.46,4.16,2.77,45.76,57.52,11.5,32.58,32.0,-19.2,,252.83,22.556973,88.4940996,"2024-04-18 10:24:03.555198"
166,5.82,5.82,0.18,5.71,62.59,24.44,0.13,2.96,32.0,8.67,,252.79,22.556973,88.4940996,"2024-04-18 10:24:08.824999"
167,8.71,2.6,0.47,1.62,66.41,6.91,42.81,84.28,32.0,17.84,,251.58,22.556973,88.4940996,"2024-04-18 10:24:14.055473"
168,6.28,9.54,0.96,2.92,13.19,23.51,71.63,74.71,32.0,12.25,,253.45,22.556973,88.4940996,"2024-04-18 10:24:19.314272"
169,5.85,8.41,3.58,0.88,37.01,67.35,61.87,83.12,32.0,-7.66,,252.74,22.556973,88.4940996,"2024-04-18 10:24:24.532033"
170,5.14,1.94,7.56,6.48,54.49,53.63,9.99,32.61,32.0,13.42,,253.38,22.556973,88.4940996,"2024-04-18 10:24:29.741667"
171,4.78,3.34,2.15,1.76,31.76,13.31,45.87,68.84,32.0,19.45,,253.13,22.556973,88.4940996,"2024-04-18 10:24:34.965464"
172,6.87,1.02,0.14,1.57,54.43,60.95,13.4,41.88,32.0,-17.34,,252.91,22.556973,88.4940996,"2024-04-18 10:24:40.195768"
173,7.39,4.45,4.15,2.24,38.46,60.66,50.35,53.79,32.0,43.79,,252.01,22.556973,88.4940996,"2024-04-18 10:24:45.420148"
174,7.29,9.36,8.43,0.4,87.91,61.98,108.84,54.85,32.0,1.33,,252.67,22.556973,88.4940996,"2024-04-18 10:24:50.688336"
175,7.01,5.68,3.68,6.28,9.35,29.34,3.54,73.61,32.0,-2.98,,252.64,22.556973,88.4940996,"2024-04-18 10:24:55.902772"
176,2.83,2.33,1.04,6.3,37.54,12.37,104.8,23.87,32.0,25.98,,253.07,22.556973,88.4940996,"2024-04-18 10:25:01.174466"
177,1.23,8.96,5.07,2.0,70.43,58.45,10.24,86.28,32.0,37.11,,253.1,22.556973,88.4940996,"2024-04-18 10:25:06.435203"
178,7.45,7.15,7.52,6.08,13.6,66.32,78.5,30.87,32.0,18.19,,251.84,22.556973,88.4940996,"2024-04-18 10:25:11.634346"
179,6.5,3.28,9.85,2.53,64.0,49.57,8.52,4.0,32.0,-11.4,,253.16,22.556973,88.4940996,"2024-04-18 10:25:16.858637"
180,5.72,8.16,6.44,1.21,1.24,15.21,64.83,92.04,32.0,11.8,,252.77,22.556973,88.4940996,"2024-04-18 10:25:22.097040"
181,5.66,5.87,0.53,4.67,37.4,20.63,90.09,88.21,32.0,4.97,,251.64,22.556973,88.4940996,"2024-04-18 10:25:27.370976"
182,4.34,0.25,9.44,1.4,71.24,27.96,34.84,98.0,32.0,34.71,,252.41,22.556973,88.4940996,"2024-04-18 10:25:33.039951"
183,7.65,3.28,4.92,4.39,56.54,51.41,59.54,97.86,32.0,-17.47,,251.64,22.556973,88.4940996,"2024-04-18 10:25:38.317371"
